time,eu_24,eu_17
2025-04-22 18:00:00,1334.4189,1304.1844
2025-04-22 18:05:00,2009.0565000000004,2001.9072
2025-04-22 18:10:00,1722.0096,1700.7924999999998
2025-04-22 18:15:00,2210.2936,2159.456
2025-04-22 18:20:00,1019.0475,966.0335
2025-04-22 18:25:00,543.0109,500.764
2025-04-22 18:30:00,314.6633,291.4245
2025-04-22 18:35:00,470.7648,462.4372
2025-04-22 18:40:00,618.925,576.1227
2025-04-22 18:45:00,470.016,454.8135
2025-04-22 18:50:00,476.5367,451.4738999999999
2025-04-22 18:55:00,435.366,395.904
2025-04-22 19:00:00,391.818,349.5244
2025-04-22 19:05:00,463.526,432.0875
2025-04-22 19:10:00,524.88,467.047
2025-04-22 19:15:00,426.218,408.2514
2025-04-22 19:20:00,210.7149,200.2569
2025-04-22 19:25:00,94.926,66.138
2025-04-23 07:00:00,57.506,16.7259
2025-04-23 07:05:00,60.679,53.676
2025-04-23 07:10:00,72.2392,65.82300000000001
2025-04-23 07:15:00,171.23340000000002,157.4448
2025-04-23 07:20:00,346.7737,320.2752
2025-04-23 07:25:00,563.6945,540.416
2025-04-23 07:30:00,691.2152,644.2944
2025-04-23 07:35:00,809.2722,824.8786
2025-04-23 07:40:00,2296.4449,2171.3709
2025-04-23 07:45:00,1505.7344999999998,1339.7834
2025-04-23 07:50:00,1730.7107999999998,1734.0
2025-04-23 07:55:00,1346.6526,1283.1192
2025-04-23 08:00:00,2135.4815,2156.9436
2025-04-23 08:05:00,1203.6708,1196.7546
2025-04-23 08:10:00,3943.6796,3847.3532
2025-04-23 08:15:00,3941.1966,3785.3149
2025-04-23 08:20:00,976.0392,931.9255
2025-04-23 08:25:00,1167.9832,1125.2835
2025-04-23 08:30:00,1685.5567999999998,1581.3649999999998
2025-04-23 08:35:00,2224.298,1979.0056
2025-04-23 08:40:00,2888.0265,2966.755
2025-04-23 08:45:00,5818.2696000000005,5758.859999999999
2025-04-23 08:50:00,4582.2796,4357.108800000001
2025-04-23 08:55:00,5733.6127,5773.292
2025-04-23 09:00:00,5838.428,5622.3232
2025-04-23 09:05:00,6878.8778,6641.3265
2025-04-23 09:10:00,7131.116000000001,6902.8806
2025-04-23 09:15:00,7145.46,6956.392
2025-04-23 09:20:00,7123.369200000001,7034.408399999999
2025-04-23 09:25:00,7132.688,7148.9375
2025-04-23 09:30:00,7057.407199999999,7142.891999999999
2025-04-23 09:35:00,7138.130300000001,7211.268000000001
2025-04-23 09:40:00,7110.493499999999,7266.151200000001
2025-04-23 09:45:00,7145.355,7285.63
2025-04-23 09:50:00,7151.424400000001,7314.1055
2025-04-23 09:55:00,7213.723999999999,7384.199
2025-04-23 10:00:00,7288.3692,7466.4877
2025-04-23 10:05:00,7315.2675,7490.952300000001
2025-04-23 10:10:00,7398.2307,7541.8885
2025-04-23 10:15:00,7464.646200000001,7528.4181
2025-04-23 10:20:00,7505.5841,7536.7464
2025-04-23 16:00:00,7050.735999999999,6599.4372
2025-04-23 16:05:00,6968.246999999999,7005.1936
2025-04-23 16:10:00,7058.5042,7143.3572
2025-04-23 16:15:00,6937.2048,6063.5815
2025-04-23 16:20:00,7252.65,7222.847000000001
2025-04-23 16:25:00,4211.0514,4170.913599999999
2025-04-23 16:30:00,2027.2131,2028.7226000000005
2025-04-23 16:35:00,2617.0914,2556.2357
2025-04-23 16:40:00,3978.9542000000006,3940.566
2025-04-23 16:45:00,2661.3024,2637.2723
2025-04-23 16:50:00,3150.2132999999994,3647.0088
2025-04-23 16:55:00,3884.0472,3784.4598
2025-04-23 17:00:00,1421.7546,1389.7385
2025-04-23 17:05:00,955.7605,955.9172
2025-04-23 17:10:00,779.4214,789.1936
2025-04-23 17:15:00,668.9445000000001,663.3921
2025-04-23 17:20:00,642.9,636.6569999999999
2025-04-23 17:25:00,728.1155,722.0550000000001
2025-04-23 17:30:00,661.5414000000001,663.0918
